epoch,loss,train_accuracy
1,0.7027878165245056,0.4813404381275177
2,0.69068843126297,0.4832809865474701
3,0.6886664628982544,0.48690736293792725
4,0.686871349811554,0.4900122582912445
5,0.684999942779541,0.4935901463031769
6,0.6832094192504883,0.4985749125480652
7,0.6814026832580566,0.5022861957550049
8,0.678989052772522,0.5081200003623962
9,0.6776831150054932,0.5092843174934387
10,0.6755617260932922,0.5149118900299072
11,0.6738685369491577,0.5181016325950623
12,0.6722124814987183,0.518829345703125
13,0.671008288860321,0.5241779685020447
14,0.6690090298652649,0.5247237682342529
15,0.6675935983657837,0.528532087802887
