date,cash,holdings_value,total_equity,peak_equity,drawdown
2024-04-15,0.0,999.0,999.0,999.0,0.0
2024-04-16,198.76223786073948,792.141778057648,990.9040159183875,999.0,0.00810408816978231
2024-04-17,195.8263307526014,782.5220176873954,978.3483484399968,999.0,0.020672323883887074
2024-04-18,0.0,991.4170771685108,991.4170771685108,999.0,0.007590513344834048
2024-04-19,0.0,998.5574318727553,998.5574318727553,999.0,0.0004430111383831095
2024-04-22,198.70868622281117,805.3801464663102,1004.0888326891213,1004.0888326891213,0.0
2024-04-23,0.0,997.1128072834783,997.1128072834783,1004.0888326891213,0.00694761775903831
2024-04-24,5.684341886080802e-14,1005.6664597081602,1005.6664597081603,1005.6664597081603,0.0
2024-04-25,0.0,1023.1224237244373,1023.1224237244373,1023.1224237244373,0.0
2024-04-26,0.0,1029.8602342294291,1029.8602342294291,1029.8602342294291,0.0
2024-04-29,0.0,1013.919548418986,1013.919548418986,1029.8602342294291,0.015478494343817848
2024-04-30,5.684341886080802e-14,1018.271660031231,1018.271660031231,1029.8602342294291,0.011252569827466934
2024-05-01,0.0,1050.9557470939883,1050.9557470939883,1050.9557470939883,0.0
2024-05-02,0.0,1063.2981833067993,1063.2981833067993,1063.2981833067993,0.0
2024-05-03,214.26935370081995,855.4566307509083,1069.7259844517282,1069.7259844517282,0.0
2024-05-06,0.0,1065.652389334054,1065.652389334054,1069.7259844517282,0.003808073447670798
2024-05-07,212.96673574030277,854.5679426207004,1067.5346783610032,1069.7259844517282,0.0020484742098212314
2024-05-08,0.0,1077.7457269675192,1077.7457269675192,1077.7457269675192,0.0
2024-05-09,212.0243564585684,859.2163308987003,1071.2406873572688,1077.7457269675192,0.0060357832533966755
2024-05-10,5.684341886080802e-14,1071.5061027474833,1071.5061027474833,1077.7457269675192,0.00578951422762075
2024-05-13,0.0,1078.4757995434645,1078.4757995434645,1078.4757995434645,0.0
2024-05-14,5.684341886080802e-14,1085.923935879015,1085.923935879015,1085.923935879015,0.0
2024-05-15,0.0,1098.1103044040667,1098.1103044040667,1098.1103044040667,0.0
2024-05-16,0.0,1104.4791381714824,1104.4791381714824,1104.4791381714824,0.0
2024-05-17,0.0,1095.7112866211648,1095.7112866211648,1104.4791381714824,0.007938449217640423
2024-05-20,5.684341886080802e-14,1097.9095982515953,1097.9095982515953,1104.4791381714824,0.005948088735078605
2024-05-21,5.684341886080802e-14,1090.219530167084,1090.219530167084,1104.4791381714824,0.012910708325379367
2024-05-22,5.684341886080802e-14,1072.2548345629893,1072.2548345629893,1104.4791381714824,0.029176018355441223
2024-05-23,5.684341886080802e-14,1073.1158224158794,1073.1158224158794,1104.4791381714824,0.028396476376662472
2024-05-24,0.0,1077.7320458048553,1077.7320458048553,1104.4791381714824,0.02421692854326632
2024-05-28,5.684341886080802e-14,1063.9132077209927,1063.9132077209927,1104.4791381714824,0.03672856195151733
