date,ticker,action,rank,prob_up,value,profit,profit_pct
2024-04-15,NKE,BUY,1,0.648000955581665,199.8,,
2024-04-15,NVDA,BUY,2,0.6315150856971741,199.8,,
2024-04-15,MS,BUY,3,0.6271523833274841,199.8,,
2024-04-15,GE,BUY,4,0.6086535453796387,199.8,,
2024-04-15,INTC,BUY,5,0.6070219278335571,199.8,,
2024-04-16,NKE,SELL,31,0.525603711605072,202.69924361023706,2.8992436102370505,1.4510728779965216
2024-04-16,NVDA,SELL,17,0.5622333884239197,191.88243850922777,-7.917561490772243,-3.9627434888749966
2024-04-16,MS,SELL,37,0.5055626034736633,201.7050314627537,1.9050314627536977,0.9534692005774262
2024-04-16,TSLA,BUY,1,0.6857296228408813,198.5634756228788,,
2024-04-16,META,BUY,3,0.6160086393356323,198.5634756228788,,
2024-04-17,GE,SELL,18,0.6144686937332153,194.7362601749388,-5.063739825061219,-2.534404316847457
2024-04-17,INTC,SELL,14,0.632332444190979,192.8844874376627,-6.915512562337312,-3.461217498667323
2024-04-17,TSLA,SELL,29,0.5438408255577087,191.32100617070083,-7.242469452177971,-3.6474328571550663
2024-04-17,META,SELL,31,0.5370742678642273,201.42766211896551,2.8641864960867167,1.4424538486254723
2024-04-17,BAC,BUY,1,0.6975252628326416,195.63050442184885,,
2024-04-17,UNH,BUY,2,0.6825281381607056,195.63050442184885,,
2024-04-17,JNJ,BUY,3,0.6687217950820923,195.63050442184885,,
2024-04-17,SBUX,BUY,4,0.6680623888969421,195.63050442184885,,
2024-04-18,UNH,SELL,20,0.6465256810188293,198.58526455856676,2.9547601367179084,1.5103780187298377
2024-04-18,INTC,BUY,1,0.748610258102417,197.0085918579285,,
2024-04-18,CSCO,BUY,3,0.7153266668319702,197.0085918579285,,
2024-04-19,SBUX,SELL,7,0.7847184538841248,197.74465794545384,2.1141535236049833,1.0806870481947526
2024-04-19,JPM,BUY,4,0.798057496547699,197.54691328750837,,
2024-04-22,JNJ,SELL,9,0.6517276763916016,200.55741844558568,4.926914023736828,2.518479435657259
2024-04-22,INTC,SELL,10,0.6473597288131714,197.271949813036,0.2633579551074945,0.1336784109890057
2024-04-22,CSCO,SELL,21,0.6201416254043579,196.81158326607056,-0.1970085918579514,-0.10000000000001161
2024-04-22,JPM,SELL,18,0.6260553598403931,200.19379336655265,2.64688007904428,1.3398741772249458
2024-04-22,AMD,BUY,1,0.7269514799118042,198.50997753658842,,
2024-04-22,BA,BUY,2,0.6996261477470398,198.50997753658842,,
2024-04-22,GOOGL,BUY,3,0.6838852167129517,198.50997753658842,,
2024-04-23,BAC,SELL,40,0.497196763753891,209.36718515608385,13.736680734234994,7.021747847980718
2024-04-23,AMD,SELL,31,0.6041419506072998,197.62121450344148,-0.8887630331469438,-0.44771705894890407
2024-04-23,GOOGL,SELL,8,0.6624994874000549,199.40165484857602,0.8916773119875927,0.44918513570595864
2024-04-23,WMT,BUY,2,0.7066197991371155,201.0734104975454,,
2024-04-23,INTC,BUY,3,0.7031434774398804,201.0734104975454,,
2024-04-23,MRK,BUY,4,0.686023473739624,201.0734104975454,,
2024-04-23,AMZN,BUY,5,0.678326427936554,201.0734104975454,,
2024-04-24,BA,SELL,37,0.4688618779182434,195.53337777217055,-2.9765997644178697,-1.4994711103975802
2024-04-24,WMT,SELL,18,0.5143605470657349,202.0130858172756,0.9396753197301848,0.46732947802745695
2024-04-24,INTC,SELL,20,0.5050458908081055,204.42399645591289,3.350585958367475,1.6663495934527737
2024-04-24,MRK,SELL,10,0.5317990183830261,206.75615865531012,5.682748157764706,2.8262056846318218
2024-04-24,NVDA,BUY,1,0.5804364085197449,201.97947302049212,,
2024-04-24,WFC,BUY,3,0.5540198087692261,201.97947302049212,,
2024-04-24,HON,BUY,4,0.5414663553237915,201.97947302049212,,
2024-04-24,JNJ,BUY,5,0.5396811366081238,201.97947302049212,,
2024-04-25,AMZN,SELL,31,0.4799964725971222,204.3189815674276,3.245571069882203,1.6141224550034792
2024-04-25,NVDA,SELL,28,0.4853893518447876,214.23840290475866,12.258929884266536,6.069393934413715
2024-04-25,JNJ,SELL,8,0.5505668520927429,200.84294587150677,-1.1365271489853512,-0.5626943827455393
2024-04-25,XOM,BUY,1,0.5980932712554932,206.2603100044498,,
2024-04-25,PEP,BUY,3,0.5636939406394958,206.2603100044498,,
2024-04-25,QCOM,BUY,5,0.5594301223754883,206.2603100044498,,
2024-04-26,WFC,SELL,18,0.47128376364707947,201.33979473970905,-0.6396782807830732,-0.3167045993422182
2024-04-26,HON,SELL,25,0.46176281571388245,202.5615199142926,0.5820468938004808,0.2881713102308314
2024-04-26,QCOM,SELL,23,0.46466273069381714,210.45722448844452,4.196914483994732,2.0347659149276898
2024-04-26,GOOGL,BUY,2,0.5388354659080505,613.7441806033038,,
2024-04-29,XOM,SELL,10,0.556523859500885,206.5955574329957,0.3352474285458982,0.16253608294230995
2024-04-29,PEP,SELL,35,0.45750921964645386,206.4413273626665,0.18101735821670673,0.08776160484428706
2024-04-29,ADBE,BUY,2,0.5995246171951294,103.15596197771664,,
2024-04-29,INTC,BUY,3,0.5950811505317688,103.15596197771664,,
2024-04-29,AMZN,BUY,4,0.5808712840080261,103.15596197771664,,
2024-04-29,CAT,BUY,5,0.5755060911178589,103.15596197771664,,
2024-04-30,GOOGL,SELL,18,0.4445955753326416,604.6798518033207,-9.064328799983059,-1.476890386328865
2024-04-30,ADBE,SELL,40,0.32154107093811035,104.51344884443341,1.3574868667167692,1.315955801963253
2024-04-30,INTC,SELL,26,0.4076193571090698,102.71460045001204,-0.4413615277046006,-0.42785847685656964
2024-04-30,AMZN,SELL,27,0.40437665581703186,105.4082987246701,2.2523367469534605,2.183428571428573
2024-04-30,CAT,SELL,28,0.40383169054985046,101.97475115977701,-1.181210817939629,-1.1450727571081054
2024-04-30,NVDA,BUY,1,0.6126152276992798,203.6543320062462,,
