date,ticker,action,rank,prob_up,value,profit,profit_pct
2024-04-17,MRK,BUY,1,0.7911279201507568,249.75,,
2024-04-17,JPM,BUY,2,0.7367018461227417,249.75,,
2024-04-17,WFC,BUY,3,0.733404815196991,249.75,,
2024-04-17,WMT,BUY,6,0.7216633558273315,249.75,,
2024-04-18,JPM,SELL,10,0.7586231827735901,255.7635708215964,6.013570821596375,2.4078361648033533
2024-04-18,WFC,SELL,24,0.6928091645240784,256.33876875275314,6.58876875275314,2.638145646748004
2024-04-18,DIS,BUY,2,0.8147792220115662,170.5300790782584,,
2024-04-18,KO,BUY,4,0.8045012354850769,170.5300790782584,,
2024-04-19,MRK,SELL,11,0.7291701436042786,252.90714281832615,3.1571428183261787,1.2641212485790505
2024-04-19,WMT,SELL,19,0.5843245983123779,253.2052870015829,3.4552870015828603,1.383498298932076
2024-04-19,DIS,SELL,8,0.7432397603988647,169.42159155567174,-1.108487522586671,-0.6500246341162911
2024-04-19,KO,SELL,36,0.4835650026798248,171.43544749599494,0.9053684177365257,0.5309142074114916
2024-04-19,BA,BUY,1,0.8519472479820251,203.3305156961925,,
2024-04-19,INTC,BUY,2,0.8339954018592834,203.3305156961925,,
2024-04-19,CRM,BUY,3,0.8050728440284729,203.3305156961925,,
2024-04-19,GS,BUY,4,0.7987607717514038,203.3305156961925,,
2024-04-19,MCD,BUY,6,0.7542061805725098,203.3305156961925,,
2024-04-22,BA,SELL,38,0.3367908895015716,201.5782294833619,-1.7522862128305974,-0.861792046722975
2024-04-22,INTC,SELL,11,0.5231731534004211,202.35977015132443,-0.9707455448680662,-0.4774224574920723
2024-04-22,CRM,SELL,23,0.4589852094650268,205.25630403968373,1.9257883434912344,0.947122145880288
2024-04-22,MCD,SELL,24,0.4565017521381378,204.0854153603764,0.7548996641838812,0.3712672746631986
2024-04-24,GS,SELL,14,0.549000084400177,204.44128527058103,1.1107695743885415,0.5462876885868939
2024-04-25,MS,BUY,1,0.7222664952278137,1016.703283301022,,
2024-04-26,MS,SELL,26,0.4834069907665252,1007.8087865992156,-8.894496701806588,-0.8748370196000572
2024-04-30,DIS,BUY,1,0.766473650932312,201.36019556252327,,
2024-04-30,BAC,BUY,2,0.7452857494354248,201.36019556252327,,
2024-04-30,JNJ,BUY,3,0.7315859794616699,201.36019556252327,,
2024-04-30,GOOGL,BUY,4,0.7189890742301941,201.36019556252327,,
2024-04-30,CSCO,BUY,5,0.71871417760849,201.36019556252327,,
2024-05-01,BAC,SELL,14,0.6887818574905396,200.77775128587444,-0.5824442766488289,-0.2892549220175828
2024-05-01,JNJ,SELL,26,0.5822314620018005,199.4822972015737,-1.8778983609495867,-0.9326065440607354
2024-05-01,GOOGL,SELL,24,0.6132816672325134,204.54707702780723,3.1868814652839603,1.5826769816055422
2024-05-01,NKE,BUY,6,0.7459746599197388,302.1011591948701,,
2024-05-01,XOM,BUY,10,0.7220014929771423,302.1011591948701,,
2024-05-02,DIS,SELL,28,0.3457015454769134,206.94888911803707,5.5886935555138,2.7754708620048416
2024-05-02,CSCO,SELL,8,0.4476367533206939,202.361316753896,1.0011211913727325,0.4971792903637101
2024-05-02,NKE,SELL,29,0.337262213230133,300.94992486078075,-1.151234334089338,-0.3810757751335655
2024-05-06,XOM,SELL,18,0.4400549829006195,301.6173147257219,-0.4838444691482095,-0.1601597525933709
2024-05-09,CAT,BUY,2,0.7311628460884094,1010.8655680129772,,
2024-05-14,CAT,SELL,36,0.5227009654045105,1024.798012741609,13.932444728631822,1.3782687994822431
2024-06-21,WMT,BUY,1,0.7826542854309082,341.2577382429558,,
2024-06-21,NFLX,BUY,2,0.7450318932533264,341.2577382429558,,
2024-06-21,DIS,BUY,3,0.7401553392410278,341.2577382429558,,
2024-06-24,WMT,SELL,28,0.3228116333484649,333.59343951186975,-7.664298731086035,-2.245897417754524
2024-06-24,NFLX,SELL,31,0.3206267058849334,342.64392699286907,1.3861887499132877,0.4061999464247757
2024-06-24,DIS,SELL,21,0.3703283071517944,341.6519133191247,0.3941750761688922,0.1155065605833273
2024-06-24,COST,BUY,1,0.7290570735931396,1016.8713905440396,,
2024-06-26,COST,SELL,35,0.5107724666595459,1010.0479903897904,-6.823400154249384,-0.671018991949294
2024-07-18,AVGO,BUY,1,0.9247397184371948,201.8075884798801,,
2024-07-18,HON,BUY,2,0.9252409338951112,201.8075884798801,,
2024-07-18,NVDA,BUY,3,0.9231980443000792,201.8075884798801,,
2024-07-18,QCOM,BUY,4,0.9160915613174438,201.8075884798801,,
2024-07-19,AVGO,SELL,9,0.4857576489448547,206.3592330387703,4.551644558890189,2.2554377628589424
2024-07-19,HON,SELL,36,0.391510546207428,203.8227803075829,2.015191827702808,0.9985708876867724
2024-07-19,NVDA,SELL,24,0.4169028699398041,211.19628840369032,9.388699923810208,4.652302717916005
2024-07-22,QCOM,SELL,36,0.3739504516124725,209.33611277805383,7.52852429817375,3.730545692004209
2024-07-29,GE,BUY,1,0.8184531331062317,206.33825771868985,,
2024-07-29,JPM,BUY,2,0.8057718276977539,206.33825771868985,,
2024-07-29,NFLX,BUY,3,0.7953708171844482,206.33825771868985,,
2024-07-29,XOM,BUY,4,0.788877010345459,206.33825771868985,,
2024-07-29,ADBE,BUY,5,0.7832011580467224,206.33825771868985,,
2024-07-30,GE,SELL,36,0.2404157370328903,209.479657022846,3.1413993041561525,1.5224512113691306
2024-07-30,JPM,SELL,12,0.3967244327068329,203.84252331751915,-2.4957344011706937,-1.2095354631583832
2024-07-30,NFLX,SELL,9,0.3990224599838257,208.04232534358195,1.7040676248921045,0.8258612066092639
2024-07-30,XOM,SELL,11,0.3971684277057647,206.86455067089145,0.5262929522015725,0.2550631947852788
2024-07-30,ADBE,SELL,34,0.2470104694366455,211.0832799931353,4.745022274445489,2.299632810176477
2024-08-01,SBUX,BUY,1,0.8305768370628357,207.6546048023252,,
2024-08-01,GOOGL,BUY,2,0.7877138257026672,207.6546048023252,,
2024-08-01,ADBE,BUY,3,0.7848000526428223,207.6546048023252,,
2024-08-01,GE,BUY,4,0.775265097618103,207.6546048023252,,
2024-08-01,MSFT,BUY,5,0.7572638392448425,207.6546048023252,,
2024-08-02,SBUX,SELL,36,0.2295211106538772,201.92451796002717,-5.730086842298022,-2.7594316281850446
2024-08-02,GOOGL,SELL,26,0.3696892857551574,198.2234854976565,-9.43111930466867,-4.541733766822332
2024-08-02,ADBE,SELL,9,0.4428326189517975,200.80370531518923,-6.850899487135933,-3.299180142745971
2024-08-05,GE,SELL,28,0.4858407974243164,210.02257144519737,2.3679666428722044,1.1403390958396362
2024-08-05,MSFT,SELL,20,0.5583279132843018,202.93734170106583,-4.717263101259306,-2.271687211439332
2024-08-07,INTC,BUY,1,0.8508086204528809,506.4488551486085,,
2024-08-07,TSLA,BUY,3,0.7647125124931335,506.4488551486085,,
2024-08-08,INTC,SELL,36,0.3969299495220184,486.68250250037926,-19.766352648229255,-3.90293164794087
2024-08-08,TSLA,SELL,37,0.3900419771671295,508.894000816322,2.4451456677135184,0.4828020920288255
2024-08-13,INTC,BUY,1,0.9492695927619934,198.9161853626769,,
2024-08-13,AMD,BUY,2,0.7514464259147644,198.9161853626769,,
2024-08-13,MS,BUY,3,0.7450006008148193,198.9161853626769,,
2024-08-13,WFC,BUY,4,0.73762047290802,198.9161853626769,,
2024-08-13,BA,BUY,5,0.7324426174163818,198.9161853626769,,
2024-08-14,INTC,SELL,37,0.2692273259162903,206.3986139386616,7.48242857598467,3.7615986664645815
2024-08-14,AMD,SELL,16,0.3671624660491943,208.04956950093373,9.133384138256815,4.591574145464451
2024-08-14,MS,SELL,21,0.3625705540180206,201.1152992529501,2.199113890273225,1.1055479906090384
2024-08-14,WFC,SELL,15,0.3730081915855407,202.08724094667173,3.1710555839948142,1.5941666980055644
