date,cash,holdings_value,total_equity,peak_equity,drawdown
2024-04-15,1000.0,0.0,1000.0,1000.0,0.0
2024-04-16,1000.0,0.0,1000.0,1000.0,0.0
2024-04-17,0.0,999.0,999.0,1000.0,0.001
2024-04-18,170.70077985811648,842.7949419104964,1013.4957217686128,1013.4957217686128,0.0
2024-04-19,0.0,1016.6525784809623,1016.6525784809623,1016.6525784809623,0.0
2024-04-22,813.2797190347464,206.57035436535335,1019.8500734001,1019.8500734001,0.0
2024-04-23,813.2797190347464,206.102652065676,1019.3823711004223,1019.8500734001,0.0004585990743895
2024-04-24,1017.7210043053276,0.0,1017.7210043053276,1019.8500734001,0.0020876294960436
2024-04-25,0.0,1016.703283301022,1016.703283301022,1019.8500734001,0.0030855418665476
2024-04-26,1007.8087865992156,0.0,1007.8087865992156,1019.8500734001,0.0118069186000444
2024-04-29,1007.8087865992156,0.0,1007.8087865992156,1019.8500734001,0.0118069186000444
2024-04-30,5.684341886080803e-14,1006.8009778126165,1006.8009778126165,1019.8500734001,0.0127951116814443
2024-05-01,0.0,1010.6081182259762,1010.6081182259762,1019.8500734001,0.0090620723723749
2024-05-02,710.2601307327138,301.47741836398984,1011.7375490967036,1019.8500734001,0.0079546244246957
2024-05-03,710.2601307327138,303.42662581030874,1013.6867565430224,1019.8500734001,0.0060433558008476
2024-05-06,1011.8774454584355,0.0,1011.8774454584355,1019.8500734001,0.0078174509661837
2024-05-07,1011.8774454584355,0.0,1011.8774454584355,1019.8500734001,0.0078174509661837
2024-05-08,1011.8774454584355,0.0,1011.8774454584355,1019.8500734001,0.0078174509661837
2024-05-09,0.0,1010.8655680129772,1010.8655680129772,1019.8500734001,0.0088096335152176
2024-05-10,0.0,1016.2504994821924,1016.2504994821924,1019.8500734001,0.0035295128291816
2024-05-13,0.0,1020.5242905008238,1020.5242905008238,1020.5242905008238,0.0
2024-05-14,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-15,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-16,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-17,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-20,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-21,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-22,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-23,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-24,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-28,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-29,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-30,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-05-31,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-06-03,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-06-04,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-06-05,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-06-06,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-06-07,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-06-10,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
2024-06-11,1024.798012741609,0.0,1024.798012741609,1024.798012741609,0.0
