epoch,loss,train_accuracy
1,0.7070373296737671,0.482189416885376
2,0.6908373832702637,0.4847849011421203
3,0.6882199645042419,0.4868103563785553
4,0.686377227306366,0.4906429350376129
5,0.684302568435669,0.4934931099414825
6,0.6823781728744507,0.4987325668334961
7,0.6804884672164917,0.5041418671607971
8,0.6781229972839355,0.5082533955574036
9,0.6756488084793091,0.5140750408172607
10,0.6748058795928955,0.5166462659835815
11,0.6726420521736145,0.5212186574935913
12,0.670731782913208,0.5244205594062805
13,0.6690574884414673,0.5291021466255188
14,0.6670814752578735,0.53132164478302
15,0.6663342118263245,0.5324374437332153
16,0.6641365885734558,0.5350329279899597
17,0.6629105806350708,0.5371553897857666
18,0.6614073514938354,0.5392657518386841
19,0.659760057926178,0.5437775254249573
20,0.658804178237915,0.5465912818908691
21,0.6578740477561951,0.5466277003288269
22,0.6562442183494568,0.5498053431510925
23,0.6560025811195374,0.5496355295181274
24,0.6549824476242065,0.550969660282135
25,0.6541959047317505,0.5517822504043579
26,0.6529510021209717,0.5558210611343384
27,0.6515020132064819,0.5568034052848816
28,0.6502180099487305,0.5584407448768616
29,0.65058833360672,0.5585377812385559
30,0.6497953534126282,0.5607694387435913
31,0.6477221250534058,0.5619337558746338
32,0.647323727607727,0.5631102323532104
33,0.6463539004325867,0.5639228224754333
34,0.64756840467453,0.5649658441543579
35,0.6451556086540222,0.5667972564697266
36,0.6445578932762146,0.5683375597000122
37,0.6451509594917297,0.5674036741256714
38,0.6430537700653076,0.5700597763061523
39,0.6441256403923035,0.567464292049408
40,0.6440889239311218,0.5685316324234009
41,0.641933798789978,0.5707026124000549
42,0.643271267414093,0.5698293447494507
43,0.6401881575584412,0.5744138956069946
44,0.6411523818969727,0.5726552605628967
45,0.6389221549034119,0.5741470456123352
46,0.6396375894546509,0.5756873488426208
47,0.6395012736320496,0.57475346326828
48,0.6398277282714844,0.575080931186676
49,0.6390339136123657,0.5774824023246765
50,0.6390345096588135,0.5749111771583557
51,0.6380234956741333,0.5777370929718018
52,0.6380406618118286,0.5785011649131775
53,0.6367239356040955,0.5796412229537964
54,0.6352811455726624,0.5831705927848816
55,0.637690544128418,0.5794593095779419
56,0.6370153427124023,0.5797989368438721
57,0.6346297860145569,0.5831342339515686
58,0.6348559260368347,0.5830250978469849
59,0.633998692035675,0.5838376879692078
60,0.6347197890281677,0.583109974861145
