Ticker,position_value,latest_close,latest_prob_up,latest_rank,portfolio_weight
PEP,121.90969184938363,158.3800048828125,0.5659223794937134,1,0.2
JNJ,121.90969184938363,234.5399932861328,0.5503749847412109,2,0.2
WMT,121.90969184938363,124.81999969482422,0.5429727435112,3,0.2
MRK,121.90969184938363,115.45999908447266,0.541067898273468,4,0.2
MCD,121.90969184938363,306.9599914550781,0.5304023623466492,5,0.2
