date,cash,holdings_value,total_equity,peak_equity,drawdown
2023-04-13,0.0,999.0,999.0,999.0,0.0
2023-04-14,201.43054121145784,804.9164426809857,1006.3469838924435,1006.3469838924435,0.0
2023-04-17,0.0,1008.2457178653871,1008.2457178653871,1008.2457178653871,0.0
2023-04-18,0.0,974.3276194154705,974.3276194154705,1008.2457178653871,0.03364070667389141
2023-04-19,109.81149398759754,811.733479231393,921.5449732189904,1008.2457178653871,0.08599168150196124
2023-04-20,0.0,913.8912838134768,913.8912838134768,1008.2457178653871,0.09358277687672534
2023-04-21,182.60179450128922,729.6767708271519,912.2785653284411,1008.2457178653871,0.09518230609510876
2023-04-24,0.0,898.5092064803356,898.5092064803356,1008.2457178653871,0.1088390552427842
2023-04-25,146.27929728020334,739.6651264469607,885.944423727164,1008.2457178653871,0.12130107965859147
2023-04-26,602.4759526820447,296.28036510813445,898.7563177901792,1008.2457178653871,0.10859396487893244
2023-04-27,180.91419645667168,722.9331290408602,903.8473254975319,1008.2457178653871,0.10354459286857456
2023-04-28,0.0,902.6799755869845,902.6799755869845,1008.2457178653871,0.10470239586229205
2023-05-01,0.0,884.3824192818432,884.3824192818432,1008.2457178653871,0.12285030959098116
2023-05-02,0.0,889.2562325257402,889.2562325257402,1008.2457178653871,0.1180163557664952
2023-05-03,178.49692957692187,713.2737305893801,891.7706601663019,1008.2457178653871,0.1155224918243947
2023-05-04,5.684341886080802e-14,902.3670297721277,902.3670297721278,1008.2457178653871,0.10501278231800568
2023-05-05,178.77492323653908,720.2950169377913,899.0699401743303,1008.2457178653871,0.10828290738709888
2023-05-08,179.18962695251403,716.0417493022463,895.2313762547603,1008.2457178653871,0.11209007844823349
2023-05-09,5.684341886080802e-14,896.3236779272406,896.3236779272406,1008.2457178653871,0.11100670992692416
2023-05-10,176.94848243788954,706.2093597186195,883.157842156509,1008.2457178653871,0.12406487177918152
2023-05-11,0.0,882.1801264360494,882.1801264360494,1008.2457178653871,0.1250345914647058
